"Età","Sesso","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"76","Femmine","47","30","22","21","38","59","45","56","45","71"
"76","Totale","85","49","49","37","66","97","75","87","79","105"
"77","Maschi","36","34","17","25","16","23","33","24","29","35"
"77","Femmine","53","47","27","22","23","39","58","43","56","44"
"77","Totale","89","81","44","47","39","62","91","67","85","79"
"78","Maschi","46","35","33","16","22","15","20","31","21","28"
"78","Femmine","47","52","41","26","23","22","38","58","41","51"
"78","Totale","93","87","74","42","45","37","58","89","62","79"
"79","Maschi","29","44","31","30","16","19","15","21","29","23"
"79","Femmine","49","43","51","38","26","21","20","37","60","40"
"79","Totale","78","87","82","68","42","40","35","58","89","63"
"80","Maschi","29","28","41","30","25","15","16","12","19","26"
"80","Femmine","52","46","39","49","36","26","19","21","36","60"
"80","Totale","81","74","80","79","61","41","35","33","55","86"
"81","Maschi","21","24","25","36","29","24","13","15","8","19"
"81","Femmine","36","49","45","36","48","32","28","19","20","33"
"81","Totale","57","73","70","72","77","56","41","34","28","52"
"82","Maschi","23","20","23","23","35","26","23","12","14","7"
"82","Femmine","32","35","47","44","34","45","30","23","15","19"
"82","Totale","55","55","70","67","69","71","53","35","29","26"
"83","Maschi","21","21","20","17","20","31","21","21","11","14"
"83","Femmine","26","27","36","43","40","30","41","29","22","16"
"83","Totale","47","48","56","60","60","61","62","50","33","30"
"84","Maschi","21","20","19","20","17","17","29","19","20","9"
"84","Femmine","21","25","18","31","36","36","30","39","33","20"
"84","Totale","42","45","37","51","53","53","59","58","53","29"
"85","Maschi","7","21","17","18","18","18","16","26","16","18"
"85","Femmine","23","19","16","17","30","32","32","27","37","29"
"85","Totale","30","40","33","35","48","50","48","53","53","47"
"86","Maschi","7","5","16","13","15","17","16","15","21","15"
"86","Femmine","18","21","18","14","16","28","25","28","21","38"
"86","Totale","25","26","34","27","31","45","41","43","42","53"
"87","Maschi","1","5","4","13","11","11","15","10","12","17"
"87","Femmine","14","16","18","14","15","14","22","19","23","21"
"87","Totale","15","21","22","27","26","25","37","29","35","38"
"88","Maschi","4","1","4","2","12","8","9","12","8","10"
"88","Femmine","12","9","11","18","10","12","12","19","19","21"
"88","Totale","16","10","15","20","22","20","21","31","27","31"
